,0
1190,SASKEN
1191,SASTASUNDR
1192,SATIA
1193,SATIN
1194,SBICARD
1195,SBIETFQLTY
1196,SBILIFE
1197,SBIN
1198,SCHAEFFLER
1199,SCHAND
1200,SCHNEIDER
1201,SCI
1202,SDBL
1203,SEAMECLTD
1204,SELAN
1205,SEPOWER
1206,SEQUENT
1207,SESHAPAPER
1208,SETF10GILT
1209,SETFGOLD
1210,SETFNIF50
1211,SETFNIFBK
1212,SETFNN50
1213,SETUINFRA
1214,SEYAIND
1215,SFL
1216,SGL
1217,SHAHALLOYS
1218,SHAKTIPUMP
1219,SHALBY
1220,SHALPAINTS
1221,SHANKARA
1222,SHANTIGEAR
1223,SHARDACROP
1224,SHARDAMOTR
1225,SHAREINDIA
1226,SHARIABEES
1227,SHEMAROO
1228,SHIL
1229,SHILPAMED
1230,SHIRPUR-G
1231,SHIVAMAUTO
1232,SHIVAMILLS
1233,SHIVATEX
1234,SHK
1235,SHOPERSTOP
1236,SHREDIGCEM
1237,SHREECEM
1238,SHREEPUSHK
1239,SHREERAMA
1240,SHRENIK
1241,SHREYANIND
1242,SHRIRAMCIT
1243,SHRIRAMEPC
1244,SHYAMCENT
1245,SICAGEN
1246,SICAL
1247,SIEMENS
1248,SIGIND
1249,SILINV
1250,SILLYMONKS
1251,SIMBHALS
1252,SIMPLEXINF
1253,SINTERCOM
1254,SINTEX
1255,SIRCA
1256,SIS
1257,SITINET
1258,SIYSIL
1259,SJVN
1260,SKFINDIA
1261,SKIL
1262,SKIPPER
1263,SKMEGGPROD
1264,SMARTLINK
1265,SMLISUZU
1266,SMSLIFE
1267,SMSPHARMA
1268,SNOWMAN
1269,SOBHA
1270,SOLARA
1271,SOLARINDS
1272,SOMANYCERA
1273,SOMATEX
1274,SOMICONVEY
1275,SONATSOFTW
1276,SORILINFRA
1277,SOTL
1278,SOUTHBANK
1279,SOUTHWEST
1280,SPAL
1281,SPANDANA
1282,SPARC
1283,SPECIALITY
1284,SPENCERS
1285,SPIC
1286,SPICEJET
1287,SPLIL
1288,SPMLINFRA
1289,SPTL
1290,SREEL
1291,SREINFRA
1292,SRF
1293,SRHHYPOLTD
1294,SRIPIPES
1295,SRPL
1296,SRTRANSFIN
1297,SSWL
1298,STAR
1299,STARCEMENT
1300,STARPAPER
1301,STCINDIA
1302,STEELCITY
1303,STEELXIND
1304,STEL
1305,STERTOOLS
1306,STRTECH
1307,SUBEX
1308,SUBROS
1309,SUDARSCHEM
1310,SUMEETINDS
1311,SUMICHEM
1312,SUMIT
1313,SUMMITSEC
1314,SUNCLAYLTD
1315,SUNDARAM
1316,SUNDARMFIN
